Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
BX640478.1,0.013535288,0.005840494,0.006901084,0.004016064,0.008972268,0.004938272,0.015043547,0.004555809,0.002994012,0
gstt1a,0.001611344,0.00093985,0.001971738,0.115127175,0.001631321,0.001646091,0.002375297,0.002277904,0.008982036,0.041176471
mmp11a,0.001933613,6.71E-05,0.000657246,0.005354752,0.00040783,0.004115226,0.000791766,0,0.001497006,0
derl3,0.008378988,0.001006982,0.010515938,0.010709505,0.002446982,0.01399177,0.009501188,0,0.001497006,0.005882353
smarcb1a,0.132774734,0.053571429,0.109431482,0.108433735,0.07096248,0.099588477,0.174980206,0.056947608,0.169161677,0.205882353
RALGDS,0.026103771,0.023227712,0.371015445,0.135207497,0.019168026,0.253497942,0.053048298,0.0523918,0.22005988,0.041176471
ptgesl,0.11021592,0.05994898,0.128820243,0.0562249,0.055464927,0.097119342,0.133016627,0.059225513,0.103293413,0.082352941
odf2b,0.010312601,0.003893663,0.008215577,0.014725569,0.004486134,0.005761317,0.011084719,0.002277904,0.002994012,0.011764706
snrnp200,0.10763777,0.075053706,0.153795596,0.117804552,0.088499184,0.115226337,0.178147268,0.066059226,0.178143713,0.294117647
slc20a1a,0.000322269,0.000604189,0.000985869,0.004016064,0.000815661,0.001646091,0.002375297,0.002277904,0.297904192,0
vgll4l,0.000322269,0.000134264,0.000328623,0,0.00040783,0.002469136,0,0,0.004491018,0.005882353
syn1,0.098614244,0.006713212,0.006901084,0.002677376,0.02324633,0.022222222,0.178147268,0.006833713,0.005988024,0.005882353
unm-hu7912,0.019658395,0.005236305,0.004929346,0.004016064,0.014274062,0.005761317,0.089469517,0.004555809,0.002994012,0
gadd45ga,0.184660006,0.097005908,0.492934604,0.16064257,0.085236542,0.182716049,0.26128266,0.159453303,0.461077844,0.123529412
creb3l3l,0.146310023,0.051221805,0.191587249,0.15394913,0.0954323,0.147325103,0.330166271,0.038724374,0.178143713,0.382352941
nim1k,0.005800838,0.000604189,0.004929346,0,0.00040783,0.004938272,0.011084719,0,0,0.005882353
