Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
bhlhe23_vsx1,0.0099182,0.040050063,0.065217391,0.000304553,0.064821835,0.042600897,0.150462963,0.430626927,0.028419183
bcl2l10_vsx1,0.141308793,0.08135169,0.114906832,0.046444343,0.105761941,0.047085202,0.159722222,0.582219938,0.039076377
tmem178b_vsx1,0.02791411,0.028785982,0.086180124,0.003197807,0.086050038,0.047085202,0.150462963,0.441932169,0.021314387
foxo4_vsx1,0.066871166,0.065081352,0.044254658,0.026648393,0.045868082,0.044843049,0.094907407,0.328879753,0.031971581
hunk_vsx1,0.02198364,0.023779725,0.01552795,0.002284148,0.010614102,0.011210762,0.016203704,0.185508736,0.003552398
si:ch211-260e23.9_vsx1,0.076380368,0.086357947,0.101708075,0.016902695,0.072782411,0.089686099,0.168981481,0.464542652,0.023090586
nol4la_vsx1,0.020449898,0.017521902,0.028726708,0.005786508,0.021228203,0.006726457,0.025462963,0.190133607,0.010657194
tp53inp1_vsx1,0.051738241,0.046307885,0.035714286,0.015075377,0.036391205,0.029147982,0.074074074,0.288283659,0.023090586
neurod4_vsx1,0.210122699,0.180225282,0.11257764,0.037307751,0.108036391,0.073991031,0.287037037,0.861767729,0.094138544
chn1_vsx1,0.020654397,0.047559449,0.083074534,0.014313994,0.053070508,0.042600897,0.097222222,0.323741007,0.01598579
calb2b_vsx1,0.006441718,0.038798498,0.125776398,0.000761383,0.071266111,0.060538117,0.261574074,0.477389517,0.055062167
crybb1_vsx1,0.12198364,0.053817272,0.092391304,0.013704888,0.117134193,0.044843049,0.06712963,0.52672148,0.024866785
cadm3_vsx1,0.166359918,0.117647059,0.093944099,0.041571494,0.110310842,0.080717489,0.111111111,0.468139774,0.035523979
crygm2d17_vsx1,0.052965235,0.035043805,0.054347826,0.001675042,0.051933283,0.006726457,0.020833333,0.244090442,0.01598579
